,asin,category,color,description,name
0,B00AMCUT70,unknown category,unknown color,unknown details,unknown product name
1,B002FOH7UU,"Clothing, Shoes & Jewelry
            


             ›
         


                Men
            


             ›
         


                Clothing
            


             ›
         


                Sweaters
            


             ›
         


                 Pullovers","[<div class=""a-row a-spacing-micro"">
<strong>
                          Size:
                        </strong>
            Medium
                    </div>, <div class=""a-row a-spacing-micro"">
<strong>
                          Color:
                        </strong>
            Burgundy Wine
                    </div>]","Pure Lambswool
							
						
 
							Vee neck
							
						
 
							100% soft Lambswool
							
						
 
							Machine washable (wool programme.)
							
						
 
							Ideal for the golf course
							
						
 
							Medium weight 10 gauge fabric",WoolOvers Mens Lambswool V Neck Knitted Sweater
2,B00544BU2Y,"Clothing, Shoes & Jewelry
            


             ›
         


                Women
            


             ›
         


                Clothing
            


             ›
         


                Lingerie, Sleep & Lounge
            


             ›
         


                Lingerie
            


             ›
         


                Shapewear
            


             ›
         


                 Tops","[<div class=""a-row a-spacing-micro"">
<strong>
                          Size:
                        </strong>
            XX-Large
                    </div>, <div class=""a-row a-spacing-micro"">
<strong>
                          Color:
                        </strong>
            Black
                    </div>]","86% Nylon, 14% Elastane
							
						
 
							Imported
							
						
 
							Hand Wash
							
						
 
							1"" high
							
						
 
							8"" wide
							
						
 
							Firm control
							
						
 
							Longer length",Maidenform Flexees Women's Shapewear Seamless Tailored Tank
3,B001AZZF5O,"Clothing, Shoes & Jewelry
            


             ›
         


                Women
            


             ›
         


                Watches
            


             ›
         


                 Wrist Watches",unavailable,"Imported
							
						
 
							Rectangular watch featuring logoed blue dial with four stick indices
							
						
 
							22 mm stainless steel case with mineral dial window
							
						
 
							Quartz movement with analog display
							
						
 
							Stainless steel link bracelet with fold-over clasp and double push-button safety
							
						
 
							Water resistant to 30 m (99 ft): In general, withstands splashes or brief immersion in water, but not suitable for swimming",Casio Women's LTP1165A-2C Classic Sleek Silver-Tone Analog Watch
4,B003S7NRD4,"Clothing, Shoes & Jewelry
            


             ›
         


                Women
            


             ›
         


                Watches
            


             ›
         


                 Wrist Watches",unavailable,"Imported
							
						
 
							Quartz Movement
							
						
 
							10 Meters / 30 Feet / 1 ATM Water Resistant
							
						
 
							37mm Case Diameter
							
						
 
							Mineral Crystal","Geneva Platinum CZ Accented Silicone Link Watch, Large Face"
5,B0000YECC8,unknown category,unknown color,unknown details,unknown product name
6,B0022JKZRK,"Clothing, Shoes & Jewelry
            


             ›
         


                Women
            


             ›
         


                Accessories
            


             ›
         


                Hats & Caps
            


             ›
         


                 Sun Hats","[<span class=""selection"">Sand</span>]","nylon
							
						
 
							Imported
							
						
 
							Machine Wash
							
						
 
							Wicking TransAction Headband",Outdoor Research Women's Oasis Sombrero Sun Hat
7,B000BU0BF8,"Clothing, Shoes & Jewelry
            


             ›
         


                Women
            


             ›
         


                Clothing
            


             ›
         


                Tops, Tees & Blouses
            


             ›
         


                 Polos","[<span class=""selection"">Deep Red</span>]","7 oz. 100% Cotton pique
							
						
 
							Button closure
							
						
 
							Cool cotton pique breathes for refreshing comfort
							
						
 
							Specially finished for incredible softness.
							
						
 
							high-stitch density for superior embellishment platform
							
						
 
							tag-free neck label
							
						
 
							double-needle bottom hem",Hanes Womens ComfortSoft Cotton Pique Polo Shirt (035X)
8,B0013MAV1M,"Clothing, Shoes & Jewelry
            


             ›
         


                Men
            


             ›
         


                Watches
            


             ›
         


                 Wrist Watches","[<div class=""a-row a-spacing-micro"">
<strong>
                          Band Color:
                        </strong>
            Black
                    </div>]","Imported
							
						
 
							Round watch with white dial featuring printed black top ring, gear-edge bezel, open lugs, and three subdials
							
						
 
							45 mm stainless steel case with mineral dial window
							
						
 
							Quartz movement with analog display
							
						
 
							Black resin band with buckle closure
							
						
 
							Water resistant to 100 m (330 ft): In general, suitable for swimming and snorkeling, but not scuba diving",Casio Men's AMW330-7AV
9,B007QTN2HQ,"Clothing, Shoes & Jewelry
            


             ›
         


                Women
            


             ›
         


                Shoes
            


             ›
         


                 Loafers & Slip-Ons","[<span class=""selection"">Charcoal</span>]","100% Leather
							
						
 
							Made in USA or Imported
							
						
 
							Synthetic sole
							
						
 
							Heel measures approximately 0.25""
							
						
 
							A veil of fringe creates fun style in the Paddle Suede Moccasin Vibram by Manitobah Mukluks®.",Manitobah Mukluks Women's Paddle Suede Moccasin
10,B00DU6ZHVI,"Clothing, Shoes & Jewelry
            


             ›
         


                Women
            


             ›
         


                Shoes
            


             ›
         


                 Flats","[<div class=""a-row a-spacing-micro"">
<strong>
                          Size:
                        </strong>
            5 M US
                    </div>, <div class=""a-row a-spacing-micro"">
<strong>
                          Color:
                        </strong>
            Red
                    </div>]","Synthetic
							
						
 
							Fit: True to Size
							
						
 
							Upper: Soft Crocheted Fabric
							
						
 
							Features of this item include: Flat Heel",BOBS from Skechers Women's Plush Metallic Crochet Flat
11,B001IXT568,"Clothing, Shoes & Jewelry
            


             ›
         


                Women
            


             ›
         


                Shoes
            


             ›
         


                Boots
            


             ›
         


                 Knee-High","[<span class=""selection"">Camel</span>]","Synthetic
							
						
 
							Synthetic sole
							
						
 
							Shaft measures approximately 16"" from arch
							
						
 
							Heel measures approximately 1 1/2""
							
						
 
							Platform measures approximately 1/2""
							
						
 
							Boot opening measures approximately 15"" around
							
						
 
							Manmade Sole",Wanted Shoes Women's Ballard Knee-High Boot
12,B007WO1PJW,unknown category,unknown color,unknown details,unknown product name
13,B004I77B4E,unknown category,unknown color,unknown details,unknown product name
14,B00FZQWEC6,"Clothing, Shoes & Jewelry
            


             ›
         


                Women
            


             ›
         


                Shoes
            


             ›
         


                Sandals
            


             ›
         


                 Platforms & Wedges","[<span class=""selection"">Navy/Multi Fluro</span>]","100% Leather/ Textile
							
						
 
							Imported
							
						
 
							Synthetic sole
							
						
 
							Heel measures approximately 1.75""
							
						
 
							Platform measures approximately 0.25""
							
						
 
							Vibrant florals add a whimsical detail to this classic sandal from Easy Street's Tuscany line.
							
						
 
							Made in Italy",Tuscany by Easy Street Women's Siena Wedge Sandal
15,B0007RS8SM,unknown category,unknown color,unknown details,unknown product name
